Song,Artist,Date,Streams,Rank,Country
Dynamite,BTS,2021-02-01,"14,383",1,"Korea, Republic of"
Life Goes On,BTS,2021-02-01,"13,462",2,"Korea, Republic of"
Blue & Grey,BTS,2021-02-01,"6,693",3,"Korea, Republic of"
Celebrity,IU,2021-02-01,"6,536",4,"Korea, Republic of"
Fly To My Room,BTS,2021-02-01,"5,893",5,"Korea, Republic of"
Dis-ease,BTS,2021-02-01,"5,749",6,"Korea, Republic of"
Boy With Luv (feat. Halsey),BTS,2021-02-01,"5,341",7,"Korea, Republic of"
ON,BTS,2021-02-01,"5,000",8,"Korea, Republic of"
Stay,BTS,2021-02-01,"4,976",9,"Korea, Republic of"
Lovesick Girls,BLACKPINK,2021-02-01,"4,973",10,"Korea, Republic of"
drivers license,Olivia Rodrigo,2021-02-01,"4,964",11,"Korea, Republic of"
Daechwita,Agust D,2021-02-01,"4,561",12,"Korea, Republic of"
Telepathy,BTS,2021-02-01,"4,448",13,"Korea, Republic of"
At My Worst,Pink Sweat$,2021-02-01,"4,333",14,"Korea, Republic of"
People,Agust D,2021-02-01,"3,801",15,"Korea, Republic of"
34+35,Ariana Grande,2021-02-01,"3,410",16,"Korea, Republic of"
Filter,BTS,2021-02-01,"3,273",17,"Korea, Republic of"
right here,keshi,2021-02-01,"3,186",18,"Korea, Republic of"
Levitating (feat. DaBaby),Dua Lipa,2021-02-01,"3,017",19,"Korea, Republic of"
Mikrokosmos,BTS,2021-02-01,"3,006",20,"Korea, Republic of"
My Time,BTS,2021-02-01,"2,974",21,"Korea, Republic of"
positions,Ariana Grande,2021-02-01,"2,924",22,"Korea, Republic of"
Euphoria,BTS,2021-02-01,"2,889",23,"Korea, Republic of"
Anyone,Justin Bieber,2021-02-01,"2,855",24,"Korea, Republic of"
Save Your Tears,The Weeknd,2021-02-01,"2,844",25,"Korea, Republic of"
Black Mamba,aespa,2021-02-01,"2,770",26,"Korea, Republic of"
How You Like That,BLACKPINK,2021-02-01,"2,750",27,"Korea, Republic of"
VVS,"Mirani, Munchman, Khundi Panda, MUSHVENOM, JUSTHIS",2021-02-01,"2,734",28,"Korea, Republic of"
Chicken Noodle Soup (feat. Becky G),j-hope,2021-02-01,"2,699",29,"Korea, Republic of"
친구,BTS,2021-02-01,"2,650",30,"Korea, Republic of"
Blinding Lights,The Weeknd,2021-02-01,"2,632",31,"Korea, Republic of"
Good Days,SZA,2021-02-01,"2,598",32,"Korea, Republic of"
Sweet Night,V,2021-02-01,"2,587",33,"Korea, Republic of"
Spring Day,BTS,2021-02-01,"2,511",34,"Korea, Republic of"
Strange,"Agust D, RM",2021-02-01,"2,444",35,"Korea, Republic of"
Savage Love (Laxed – Siren Beat) [BTS Remix],"Jawsh 685, Jason Derulo",2021-02-01,"2,433",36,"Korea, Republic of"
Panorama,IZ*ONE,2021-02-01,"2,376",37,"Korea, Republic of"
Black Swan,BTS,2021-02-01,"2,370",38,"Korea, Republic of"
Intro : Persona,BTS,2021-02-01,"2,354",39,"Korea, Republic of"
Jamais Vu,BTS,2021-02-01,"2,335",40,"Korea, Republic of"
Stuck with U (with Justin Bieber),Ariana Grande,2021-02-01,"2,232",41,"Korea, Republic of"
Make A Wish (Birthday Song),NCT U,2021-02-01,"2,210",42,"Korea, Republic of"
Psycho,Red Velvet,2021-02-01,"2,190",43,"Korea, Republic of"
First Love,NCT 127,2021-02-01,"2,144",44,"Korea, Republic of"
MIC Drop (Steve Aoki Remix) [Full Length Edition],BTS,2021-02-01,"2,120",45,"Korea, Republic of"
DNA,BTS,2021-02-01,"2,117",46,"Korea, Republic of"
Burn It,"Agust D, MAX",2021-02-01,"2,115",47,"Korea, Republic of"
Mood (feat. iann dior),24kGoldn,2021-02-01,"2,108",48,"Korea, Republic of"
Someone You Loved,Lewis Capaldi,2021-02-01,"2,096",49,"Korea, Republic of"
blue,keshi,2021-02-01,"2,064",50,"Korea, Republic of"
Magic Shop,BTS,2021-02-01,"2,047",51,"Korea, Republic of"
Moon,BTS,2021-02-01,"2,033",52,"Korea, Republic of"
Pretty Savage,BLACKPINK,2021-02-01,"2,027",53,"Korea, Republic of"
I CAN'T STOP ME,TWICE,2021-02-01,"2,025",54,"Korea, Republic of"
My Favourite Clothes,RINI,2021-02-01,"2,024",55,"Korea, Republic of"
What Do I Call You,TAEYEON,2021-02-01,"2,017",56,"Korea, Republic of"
We are Bulletproof : the Eternal,BTS,2021-02-01,"2,003",57,"Korea, Republic of"
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,2021-02-01,"1,999",58,"Korea, Republic of"
Louder than bombs,BTS,2021-02-01,"1,976",59,"Korea, Republic of"
HOME,BTS,2021-02-01,"1,964",60,"Korea, Republic of"
willow,Taylor Swift,2021-02-01,"1,958",61,"Korea, Republic of"
Therefore I Am,Billie Eilish,2021-02-01,"1,954",62,"Korea, Republic of"
Love Maze,BTS,2021-02-01,"1,943",63,"Korea, Republic of"
FAKE LOVE,BTS,2021-02-01,"1,900",64,"Korea, Republic of"
90's Love,NCT U,2021-02-01,"1,874",65,"Korea, Republic of"
Make It Right,BTS,2021-02-01,"1,829",66,"Korea, Republic of"
Kick It,NCT 127,2021-02-01,"1,796",67,"Korea, Republic of"
00:00 (Zero O’Clock),BTS,2021-02-01,"1,743",68,"Korea, Republic of"
Ice Cream (with Selena Gomez),BLACKPINK,2021-02-01,"1,740",69,"Korea, Republic of"
Serendipity (Full Length Edition),BTS,2021-02-01,"1,728",70,"Korea, Republic of"
Baila Conmigo (with Rauw Alejandro),Selena Gomez,2021-02-01,"1,702",71,"Korea, Republic of"
Moonlight,Agust D,2021-02-01,"1,647",72,"Korea, Republic of"
The Truth Untold,"BTS, Steve Aoki",2021-02-01,"1,647",73,"Korea, Republic of"
BOOM,NCT DREAM,2021-02-01,"1,628",74,"Korea, Republic of"
I Like Me Better,Lauv,2021-02-01,"1,628",75,"Korea, Republic of"
Best Friend (feat. Doja Cat),Saweetie,2021-02-01,"1,619",76,"Korea, Republic of"
Amusement Park,BAEKHYUN,2021-02-01,"1,609",77,"Korea, Republic of"
Don't Start Now,Dua Lipa,2021-02-01,"1,589",78,"Korea, Republic of"
WITHOUT YOU,The Kid LAROI,2021-02-01,"1,557",79,"Korea, Republic of"
Streets,Doja Cat,2021-02-01,"1,555",80,"Korea, Republic of"
